book	chapter	verse	anchor	references
Gen	2	8	in die Ooste	Gen 3:24|Gen 4:16|2 Kon 19:12|Eseg 27:23|Eseg 31:16, 18
Gen	2	9	allerhande bome	Eseg 31:8-9, 16, 18
Gen	2	9	boom van die lewe	Gen 3:22|Spr 3:18|Spr 11:30|Eseg 47:12|Joh 6:48|Opb 2:7|Opb 22:2, 14
Gen	2	9	boom van die kennis van goed en kwaad	Gen 2:17|Gen 3:3, 22|Deut 6:25|Jes 44:25|Jes 47:10|1 Kor 8:1
Gen	2	10	’n rivier	Ps 46:5|Opb 22:1
Gen	2	11	Háwila	Gen 10:7, 29|Gen 25:18|1 Sam 15:7
Gen	2	12	balsemgom	Num 11:7
Gen	2	12	onikssteen	Eks 28:20|Eks 39:13|Job 28:16|Eseg 28:13
Gen	2	13	Kus	Gen 10:6|Jes 11:11
Gen	2	14	Hiddékel	Dan 10:4
Gen	2	14	oos van	Gen 10:11, 22|Gen 25:18
Gen	2	14	Frat	Gen 15:18|Deut 1:7|Deut 11:24|Opb 9:14
Gen	2	15	die mens	Gen 2:2|Job 31:33
Gen	2	15	gestel	Gen 2:8|Ps 128:2|Ef 4:28
Gen	2	16	God	1 Sam 15:22
Gen	2	16	mag jy vry eet	Gen 2:9|Gen 3:1-2|1 Tim 4:4|1 Tim 6:17
Gen	2	17	van die boom	Gen 2:9|Gen 3:1-3, 11, 17, 19
Gen	2	17	sekerlik sterwe	Gen 3:3-4, 19|Gen 20:7|Num 26:65|Deut 27:26|1 Sam 14:39, 44|1 Sam 20:31|1 Sam 22:16|1 Kon 2:37, 42|Jer 26:8|Eseg 3:18-20|Eseg 18:4, 13, 32|Eseg 33:8, 14|Rom 1:32|Rom 5:12-21|Rom 6:16, 23|Rom 7:10-13|Rom 8:2|1 Kor 15:22, 56|Gal 3:10|Ef 2:1-6|Ef 5:14|Kol 2:13|1 Tim 5:6|Jak 1:15|1 Joh 5:16|Opb 2:11|Opb 20:6, 14|Opb 21:8
