book	chapter	verse	anchor	references
Gn	3	1	Le serpent	Gn 3:13-15|Es 27:1|Mt 10:16|2 Co 11:3,14|Ap 12:9|Ap 20:2
Gn	3	1	Il dit	Nb 22:28-29|Ec 4:10
Gn	3	1	a-t-il	Mt 4:3,6,9
Gn	3	2	serpent	Ps 58:5
Gn	3	3	Cependant	Gn 2:16-17
Gn	3	3	toucherez	Gn 20:6|Ex 19:12-13|1 Ch 16:22|Jb 1:11|Jb 2:5|Jb 19:21|1 Co 7:1|2 Co 6:17|Col 2:21
Gn	3	4	serpent	Jn 8:44
Gn	3	4	Vous	Gn 3:13|Dt 29:18|2 Rs 1:4,6,16|2 Rs 8:10|Ps 10:11|2 Co 2:11|2 Co 11:3|1 Tm 2:14
Gn	3	5	Dieu sait	Ex 20:7|1 Rs 22:6|Jr 14:13-14|Jr 28:2-3|Ez 13:2-6,22|2 Co 11:3|2 Co 11:13-15
Gn	3	5	vos yeux	Gn 3:7,10|Mt 6:23|Ac 26:18
Gn	3	5	comme Dieu	Ex 5:2|2 Ch 32:15|Ps 12:5|Ez 28:2,9|Ez 29:3|Dn 4:27|Dn 6:8|Ac 12:22-23|2 Co 4:4|2 Th 2:4|Ap 13:4,14
Gn	3	5	connaîtrez	Gn 3:22|Gn 2:17
Gn	3	6	vit	Jos 7:21|Jg 16:1-2
Gn	3	6	agréable	Ez 24:16,21,25
Gn	3	6	à regarder	Gn 6:2|Gn 39:7|Jos 7:21|2 Sam 11:2|Jb 31:1|Mt 5:28|1 Jn 2:16
Gn	3	6	et en mangea	1 Tm 2:14
Gn	3	6	il en mangea	Gn 3:12,17|Os 6:7|Rm 5:12-19
Gn	3	7	Leurs yeux	Gn 3:5|Dt 28:34|2 Rs 6:20|Lc 16:23
Gn	3	7	prirent conscience	Gn 3:10-11|Gn 2:25
Gn	3	7	Ils attachèrent des feuilles	Jb 9:29-31|Es 28:20|Es 59:6
Gn	3	8	Quand	Gn 3:10|Dt 4:33|Dt 5:25
Gn	3	8	vers le soir	Jb 34:21-22|Jb 38:1
Gn	3	8	se cachèrent	Jb 22:14|Jb 31:33|Jb 34:22|Ps 139:1-12|Pr 15:3|Jr 23:24|Am 9:2-3|Jon 1:3,9-10|Rm 2:15|He 4:13
Gn	3	9	Cependant, l'Eternel Dieu appela l'homme et lui dit: «Où es-tu?»	Gn 4:9|Gn 11:5|Gn 16:8|Gn 18:20-21|Jos 7:17-19|Ap 20:12-13
Gn	3	10	j'ai eu peur	Gn 2:25|Ex 3:6|Jb 23:15|Ps 119:120|Es 33:14|Es 57:11|1 Jn 3:20
Gn	3	10	parce que	Gn 3:7|Gn 2:25|Ex 32:25|Es 47:3|Ap 3:17-18|Ap 16:15
Gn	3	11	Est-ce que tu as mangé du fruit de l'arbre dont je t'avais interdit de manger?	Gn 4:10|Ps 50:21|Rm 3:20
Gn	3	12	répondit	Gn 2:18,20,22|Ex 32:21-24|1 Sam 15:20-24|Jb 31:33|Pr 19:3|Pr 28:13|Lc 10:29|Rm 10:3|Jc 1:13-15
Gn	3	13	Pourquoi	Gn 4:10-12|Gn 44:15|1 Sam 13:11|2 Sam 3:24|2 Sam 12:9-12|Jn 18:35
Gn	3	13	Le serpent	Gn 3:4-6|2 Co 11:3|1 Tm 2:14
Gn	3	14	tu seras maudit	Gn 3:1|Gn 9:6|Ex 21:28-32|Lv 20:25
Gn	3	14	la poussière	Ps 72:9|Es 29:4|Es 65:25|Mi 7:17
Gn	3	15	l'hostilité	Nb 21:6-7|Am 9:3|Mc 16:18|Lc 10:19|Ac 28:3-6|Rm 3:13
Gn	3	15	ta descendance	Mt 3:7|Mt 12:34|Mt 13:38|Mt 23:33|Jn 8:44|Ac 13:10|1 Jn 3:8,10
Gn	3	15	sa descendance	Ps 132:11|Es 7:14|Jr 31:22|Mi 5:2|Mt 1:23,25|Lc 1:31-35,76|Ga 4:4
Gn	3	15	celle-ci t'écrasera la tête	Rm 16:20|Ep 4:8|Col 2:15|He 2:14-15|1 Jn 3:8|1 Jn 5:5|Ap 12:7-8,17|Ap 20:1-3,10
Gn	3	15	tu lui blesseras le talon	Gn 49:17|Es 53:3-4,12|Dn 9:26|Mt 4:1-10|Lc 22:39-44,53|Jn 12:31-33|Jn 14:30-31|He 2:18|He 5:7|Ap 2:10|Ap 12:9-13|Ap 13:7|Ap 15:1-6|Ap 20:7-8
Gn	3	16	dans la douleur	Gn 35:16-18|1 Sam 4:19-21|Ps 48:7|Es 13:8|Es 21:3|Es 26:17-18|Es 53:11|Jr 4:31|Jr 6:24|Jr 13:21|Jr 22:23|Jr 49:24|Mi 4:9-10|Jn 16:21|1 Th 5:3|1 Tm 2:15
Gn	3	16	Tes désirs	Gn 4:7
Gn	3	16	dominera	Nb 30:8-9,14|Est 1:20|1 Co 7:4|1 Co 11:3|1 Co 14:34|Ep 5:22-24|Col 3:18|1 Tm 2:11-12|Tt 2:5|1 Pi 3:1-6
Gn	3	17	Puisque	1 Sam 15:23-24|Mt 22:12|Mt 25:26-27,45|Lc 19:22|Rm 3:19
Gn	3	17	mangé	Gn 3:6,11|Gn 2:16-17|Jr 7:23-24
Gn	3	17	maudit	Gn 5:29|Ps 127:2|Ec 1:2-3,13-14|Ec 2:11,17|Es 24:5-6|Rm 8:20-22
Gn	3	17	avec peine	Jb 5:6-7|Jb 14:1|Jb 21:17|Ps 90:7-9|Ec 2:22-23|Ec 5:16|Jn 16:33
Gn	3	18	ronces	Jos 23:13|Jb 5:5|Jb 31:40|Pr 22:5|Pr 24:31|Es 5:6|Es 7:23|Es 32:13|Jr 4:3|Jr 12:13|Mt 13:7|He 6:8
Gn	3	18	l'herbe	Jb 1:21|Ps 90:3|Ps 104:2,14-15|Rm 14:2
Gn	3	19	C'est à la sueur	Ec 1:3,13|Ep 4:28|1 Th 2:9|2 Th 3:10
Gn	3	19	jusqu'à ce que	Jb 1:21|Ps 90:3|Ps 104:29|Ec 5:14
Gn	3	19	tu es poussière	Gn 2:7|Gn 18:27
