book	chapter	verse	anchor	references
Gen	2	23	taken	1 Cor 11:8
Gen	2	24	leave	Gen 24:58-59|Gen 31:14-15|Ps 45:10
Gen	2	24	be united	Lev 22:12-13|Deut 4:4|Deut 10:20|Josh 23:8|Ps 45:10|Prov 12:4|Prov 31:10|Acts 11:23
Gen	2	24	they will become one flesh	Mal 2:14-16|Matt 19:3-9|Mark 10:6-12|Rom 7:2|1 Cor 6:16-17|1 Cor 7:2-4, 10|1 Cor 7:11|Eph 5:28-31|1 Tim 5:14|1 Pet 3:1-7
Gen	2	25	naked	Gen 3:7, 10-11
Gen	2	25	not ashamed	Exod 32:25|Ps 25:3|Ps 31:17|Isa 44:9|Isa 47:3|Isa 54:4|Jer 6:15|Jer 17:13|Ezek 16:61|Joel 2:26|Mark 8:38|Luke 9:26|Rom 10:11
Gen	3	1	Now	Gen 3:13-15|Isa 27:1|Matt 10:16|2 Cor 11:3, 14|Rev 12:9|Rev 20:2
Gen	3	1	he said	Num 22:28-29|Eccl 4:10
Gen	3	1	Did God really say	Matt 4:3, 6, 9
Gen	3	2	serpent	Ps 58:4
Gen	3	3	but	Gen 2:16-17
Gen	3	3	touch	Gen 20:6|Exod 19:12-13|1 Chr 16:22|Job 1:11|Job 2:5|Job 19:21|1 Cor 7:1|2 Cor 6:17|Col 2:21
Gen	3	4	serpent	John 8:44
Gen	3	4	You will not surely die	Gen 3:13|Deut 29:19|2 Kgs 1:4, 6, 16|2 Kgs 8:10|Ps 10:11|2 Cor 2:11|2 Cor 11:3|1 Tim 2:14
Gen	3	5	God	Exod 20:7|1 Kgs 22:6|Jer 14:13-14|Jer 28:2-3|Ezek 13:2-6, 22|2 Cor 11:3|2 Cor 11:13-15
Gen	3	5	your eyes will be opened	Gen 3:7, 10|Matt 6:23|Acts 26:18
Gen	3	5	like God	Exod 5:2|2 Chr 32:15|Ps 12:4|Ezek 28:2, 9|Ezek 29:3|Dan 4:30|Dan 6:7|Acts 12:22-23|2 Cor 4:4|2 Thess 2:4|Rev 13:4, 14
Gen	3	5	knowing good and evil	Gen 3:22|Gen 2:17
Gen	3	6	saw	Josh 7:21|Judg 16:1-2
Gen	3	6	pleasing	Ezek 24:16, 21, 25
Gen	3	6	to the eyes	Gen 6:2|Gen 39:7|Josh 7:21|2 Sam 11:2|Job 31:1|Matt 5:28|1 John 2:16
Gen	3	6	ate it	1 Tim 2:14
Gen	3	6	and he ate it	Gen 3:12, 17|Hos 6:7|Rom 5:12-19
Gen	3	7	And the eyes of both of them were opened	Gen 3:5|Deut 28:34|2 Kgs 6:20|Luke 16:23
Gen	3	7	knew that they were naked	Gen 3:10-11|Gen 2:25
Gen	3	7	sewed together fig leaves and made coverings for themselves	Job 9:29-31|Isa 28:20|Isa 59:6
Gen	3	8	heard the voice of the LORD God	Gen 3:10|Deut 4:33|Deut 5:25
Gen	3	8	breeze of the day	Job 34:21-22|Job 38:1
